
========================================================================
RUN STARTED  2026-06-17 00:44:25
site_pipeline.py https://diraq.com/
========================================================================

[00:44:25 +0s | diraq] === 0 crawl site ===
[00:44:28 +2s | diraq] [INIT].... → Crawl4AI 0.8.6 
[00:44:49 +21s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers?sort=alphabetical_asc                                          | ✓ | ⏱: 4.72s 
[00:44:50 +22s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers?sort=alphabetical_desc                                         | ✓ | ⏱: 4.90s 
[00:44:50 +22s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers?sort=alphabetical_desc                                         | ✓ | ⏱: 0.08s 
[00:44:50 +22s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers?sort=alphabetical_desc                                         | ✓ | ⏱: 5.01s 
[00:44:50 +22s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers?author=6836707771bb350e6ef84d07                                | ✓ | ⏱: 5.46s 
[00:44:50 +22s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers?author=6836707771bb350e6ef84d07                                | ✓ | ⏱: 0.07s 
[00:44:50 +22s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers?author=6836707771bb350e6ef84d07                                | ✓ | ⏱: 5.55s 
[00:44:50 +22s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers?sort=date_asc                                                  | ✓ | ⏱: 5.03s 
[00:44:50 +22s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers?sort=date_asc                                                  | ✓ | ⏱: 0.06s 
[00:44:50 +22s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers?sort=date_asc                                                  | ✓ | ⏱: 5.11s 
[00:44:50 +22s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers?sort=date_desc                                                 | ✓ | ⏱: 4.90s 
[00:44:50 +22s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers?sort=date_desc                                                 | ✓ | ⏱: 0.06s 
[00:44:50 +22s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers?sort=date_desc                                                 | ✓ | ⏱: 4.97s 
[00:44:50 +22s | diraq] Saved: crawl_output/b9ef3193fe_diraq.com.json
[00:44:50 +22s | diraq] Saved: crawl_output/f703a71ed8_www.diraq.com.json
[00:44:50 +22s | diraq] Saved: crawl_output/b2bfa2333f_www.diraq.com_publications.json
[00:44:50 +22s | diraq] Saved: crawl_output/82424282c5_www.diraq.com_technology.json
[00:44:50 +22s | diraq] Saved: crawl_output/430b0aa615_www.diraq.com_contact.json
[00:44:50 +22s | diraq] Skipped: https://www.diraq.com/terms-and-conditions
[00:44:50 +22s | diraq] Saved: crawl_output/73c6182286_www.diraq.com_team.json
[00:44:50 +22s | diraq] Skipped: https://www.diraq.com/privacy-policy
[00:44:50 +22s | diraq] Saved: crawl_output/82415c7752_www.diraq.com_research-papers_spin-qubit-control-with-a-milli-kelvin-cmos-chip.json
[00:44:50 +22s | diraq] Saved: crawl_output/9ba030c5fe_www.diraq.com_research-papers.json
[00:44:50 +22s | diraq] Skipped: https://www.diraq.com/cart
[00:44:50 +22s | diraq] Saved: crawl_output/7c1fb6c03f_www.diraq.com_newsdesk.json
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/research-papers
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/research-papers
[00:44:50 +22s | diraq] Saved: crawl_output/5337082a6f_www.diraq.com_newsdesk_one-dollar-per-qubit-the-number-that-changes-everything.json
[00:44:50 +22s | diraq] Saved: crawl_output/c4bf6ae6c0_www.diraq.com_research-papers_assessment-of-the-errors-of-high-fidelity-two-qubit-gates-in-silicon-quantum-dots.json
[00:44:50 +22s | diraq] Saved: crawl_output/bc1bbfffa9_www.diraq.com_research-papers_a-two-qubit-logic-gate-in-silicon.json
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/research-papers
[00:44:50 +22s | diraq] Saved: crawl_output/b594fb5e09_www.diraq.com_research-papers_industry-compatible-silicon-spin-qubit-unit-cells-exceeding-99-fidelity.json
[00:44:50 +22s | diraq] Saved: crawl_output/4ca06d4dba_www.diraq.com_research-papers_a-singlet-triplet-hole-spin-qubit-in-mos-silicon.json
[00:44:50 +22s | diraq] Saved: crawl_output/b05c785f3f_www.diraq.com_research-papers_category_NATURE.json
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/newsdesk
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/newsdesk
[00:44:50 +22s | diraq] Saved: crawl_output/e0b3a6c625_www.diraq.com_research-papers_category_NATURE+COMMUNICATIONS.json
[00:44:50 +22s | diraq] Saved: crawl_output/a7141d5e89_www.diraq.com_research-papers_bell-inequality-violation-in-gate-defined-quantum-dots.json
[00:44:50 +22s | diraq] Saved: crawl_output/fd20c93f93_www.diraq.com_research-papers_high-fidelity-spin-qubit-operation-and-algorithmic-initialization-above-1-k.json
[00:44:50 +22s | diraq] Saved: crawl_output/751d741e54_www.diraq.com_research-papers_entangling-gates-on-degenerate-spin-qubits-dressed-by-a-global-field.json
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/newsdesk
[00:44:50 +22s | diraq] Saved: crawl_output/ebf7d3a03a_www.diraq.com_research-papers_category_NATURE+PHYSICS.json
[00:44:50 +22s | diraq] Saved: crawl_output/4b83725ac6_www.diraq.com_research-papers_bounds-to-electron-spin-qubit-variability-for-scalable-cmos-architectures.json
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/newsdesk
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/newsdesk
[00:44:50 +22s | diraq] Duplicate skipped: https://www.diraq.com/newsdesk
